날짜,항목,팀,선수,비고,포지션
2023-10-23,자유계약선수,키움,이병규,,외야수
2023-10-23,자유계약선수,키움,이영준,,투수
2023-10-23,자유계약선수,키움,홍성민,,투수
2023-10-20,군보류,롯데,김창훈,,투수
2023-10-17,치료·재활명단,LG,김윤식,15일,투수
2023-10-17,치료·재활명단,LG,백승현,15일,투수
2023-10-17,치료·재활명단,LG,유영찬,15일,투수
2023-10-17,치료·재활명단,LG,허도환,15일,포수
2023-10-17,치료·재활명단,LG,홍창기,15일,외야수
2023-10-17,웨이버,롯데,국해성,,외야수
2023-10-17,웨이버,롯데,김태욱,,투수
2023-10-17,웨이버,롯데,윤명준,,투수
2023-10-16,군보류,SSG,김건웅,,내야수
2023-10-16,소속선수 추가 등록,SSG,김창평,군보류 해제,외야수
2023-10-16,웨이버,키움,김준완,,외야수
2023-10-16,웨이버,키움,박준태,,외야수
2023-10-16,웨이버,키움,변시원,,투수
2023-10-16,웨이버,키움,이병규,,외야수
2023-10-16,웨이버,키움,이영준,,투수
2023-10-16,웨이버,키움,홍성민,,투수
2023-10-11,군보류,한화,박준영,,투수
2023-10-11,자유계약선수,롯데,김동우,,투수
2023-10-10,군보류,KIA,강병우,,투수
2023-10-10,소속선수 추가 등록,LG,전준호,육성선수 말소,포수
2023-10-10,소속선수 추가 등록,NC,박주찬,육성선수 말소,내야수
2023-10-10,등번호 변경,LG,전준호,103→43,포수
2023-10-09,부상자 명단,KIA,최원준,10일,외야수
2023-10-08,소속선수 추가 등록,한화,류원석,육성선수 말소,투수
2023-10-07,부상자 명단,LG,박동원,10일,포수
2023-10-07,부상자 명단,롯데,진승현,10일,투수
2023-10-07,소속선수 추가 등록,두산,제환유,육성선수 말소,투수
2023-10-07,등번호 변경,두산,제환유,102→49,투수
2023-10-06,부상자 명단,LG,최원태,15일,투수
2023-10-04,부상자 명단,SSG,이정범,15일,외야수
2023-10-04,소속선수 추가 등록,롯데,우강훈,육성선수 말소,투수
2023-10-04,등번호 변경,롯데,우강훈,105→36,투수
2023-10-04,웨이버,롯데,김동우,,투수
2023-10-03,부상자 명단,LG,김대현,10일,투수
2023-10-03,소속선수 추가 등록,KT,강건,육성선수 말소,투수
2023-10-03,등번호 변경,KT,강건,106→99,투수
2023-10-03,등번호 변경,KT,서경찬,99→106,투수
2023-10-02,부상자 명단,KT,김민혁,10일,외야수
2023-10-01,소속선수 추가 등록,한화,이상혁,육성선수 말소,내야수
2023-10-01,등번호 변경,한화,이상혁,04→12,내야수
2023-09-28,소속선수 추가 등록,NC,하준수,육성선수 말소,투수
2023-09-27,군보류,NC,정주영,,투수
2023-09-25,부상자 명단,KIA,최형우,30일,외야수
2023-09-25,소속선수 추가 등록,SSG,김성민,군보류 해제,내야수
2023-09-23,부상자 명단,SSG,강진성,15일,외야수
2023-09-23,소속선수 추가 등록,SSG,류효승,육성선수 말소,외야수
2023-09-22,부상자 명단,KT,김민혁,10일,외야수
2023-09-22,부상자 명단,삼성,장필준,15일,투수
2023-09-22,소속선수 추가 등록,롯데,김동혁,육성선수 말소,외야수
2023-09-22,등번호 변경,롯데,김동혁,101→50,외야수
2023-09-21,부상자 명단,키움,김수환,30일,내야수
2023-09-20,부상자 명단,KIA,나성범,30일,외야수
2023-09-20,부상자 명단,롯데,김상수,10일,투수
2023-09-20,부상자 명단,롯데,안치홍,10일,내야수
2023-09-20,부상자 명단,롯데,진승현,15일,투수
2023-09-18,부상자 명단,롯데,정보근,30일,포수
2023-09-18,부상자 명단,두산,김태근,15일,외야수
2023-09-16,부상자 명단,롯데,구승민,10일,투수
2023-09-13,소속선수 추가 등록,두산,박소준,육성선수 말소,투수
2023-09-13,등번호 변경,두산,박소준,100→38,투수
2023-09-12,소속선수 추가 등록,KT,신범준,군보류 해제,투수
2023-09-11,부상자 명단,키움,이형종,10일,외야수
2023-09-11,부상자 명단,LG,최원태,15일 / 9.23 1군 엔트리 등록,투수
2023-09-11,부상자 명단,두산,박치국,10일,투수
2023-09-10,부상자 명단,KIA,이의리,10일,투수
2023-09-09,부상자 명단,삼성,강한울,10일,내야수
2023-09-09,부상자 명단,롯데,김상수,10일,투수
2023-09-08,부상자 명단,키움,임병욱,30일,외야수
2023-09-08,부상자 명단,두산,최원준,10일,투수
2023-09-07,부상자 명단,삼성,장필준,15일,투수
2023-09-02,부상자 명단,키움,안우진,30일,투수
2023-09-02,부상자 명단,키움,이지영,10일,포수
2023-09-01,부상자 명단,키움,주성원,30일,외야수
2023-09-01,소속선수 추가 등록,NC,조현진,육성선수 말소,내야수
2023-08-31,부상자 명단,SSG,안상현,10일,내야수
2023-08-28,부상자 명단,NC,안중열,15일,포수
2023-08-28,부상자 명단,삼성,김재성,10일,포수
2023-08-28,소속선수 추가 등록,삼성,홍원표,군보류 해제,투수
2023-08-25,부상자 명단,두산,김강률,10일,투수
2023-08-25,부상자 명단,두산,박유연,10일,포수
2023-08-25,군보류,KT,문상준,,내야수
2023-08-24,부상자 명단,KT,엄상백,10일,투수
2023-08-23,부상자 명단,키움,이지영,10일,포수
2023-08-23,부상자 명단,KIA,이의리,10일,투수
2023-08-21,군보류,두산,장우진,,투수
2023-08-21,소속선수 추가 등록,키움,조영건,군보류 해제,투수
2023-08-20,자유계약선수,롯데,김주현,,내야수
2023-08-18,부상자 명단,SSG,오태곤,10일,외야수
2023-08-18,부상자 명단,두산,김대한,10일,외야수
2023-08-18,임의해지,롯데,차우찬,,투수
2023-08-17,자유계약선수,삼성,수아레즈,,투수
2023-08-16,부상자 명단,SSG,안상현,15일,내야수
2023-08-16,치료·재활명단,NC,박석민,32일,내야수
2023-08-14,부상자 명단,NC,박세혁,10일,포수
2023-08-13,부상자 명단,키움,이지영,10일,포수
2023-08-13,부상자 명단,LG,정우영,10일,투수
2023-08-13,소속선수 추가 등록,롯데,김태욱,육성선수 말소,투수
2023-08-13,소속선수 추가 등록,롯데,석상호,육성선수 말소,투수
2023-08-13,등번호 변경,롯데,김태욱,107→14,투수
2023-08-13,웨이버,롯데,김주현,,내야수
2023-08-11,소속선수 추가 등록,NC,태너,,투수
2023-08-11,트레이드(웨이버),삼성,와이드너,NC→삼성,투수
2023-08-10,군보류,KIA,김세일,,투수
2023-08-10,웨이버,삼성,수아레즈,,투수
2023-08-08,부상자 명단,NC,서호철,15일 / 8.18 1군 엔트리 등록,내야수
2023-08-08,부상자 명단,두산,양의지,10일,포수
2023-08-07,부상자 명단,KIA,김선빈,10일,내야수
2023-08-04,부상자 명단,삼성,김지찬,10일,내야수
2023-08-04,웨이버,NC,와이드너,,투수
2023-08-03,치료·재활명단,SSG,이재원,10일,포수
2023-08-03,부상자 명단,두산,최원준,10일,투수
2023-08-02,부상자 명단,두산,박준영,10일,내야수
2023-08-02,군보류,NC,임지민,,투수
2023-08-02,군보류,삼성,양창섭,,투수
2023-07-31,소속선수 추가 등록,SSG,서상준,육성선수 말소,투수
2023-07-31,소속선수 추가 등록,SSG,채현우,군보류 해제,외야수
2023-07-31,등번호 변경,KIA,김선우,42→8,포수
2023-07-31,등번호 변경,KIA,김태군,8→42,포수
2023-07-30,부상자 명단,롯데,나균안,10일,투수
2023-07-29,부상자 명단,삼성,최지광,10일,투수
2023-07-29,부상자 명단,롯데,유강남,15일,포수
2023-07-29,트레이드,키움,김동규,LG→키움,투수
2023-07-29,트레이드,키움,신인,"2024 신인드래프트 1R, LG→키움",지명권
2023-07-29,트레이드,키움,이주형,LG→키움,내야수
2023-07-29,트레이드,LG,최원태,키움→LG,투수
2023-07-28,자유계약선수,SSG,이원준,,투수
2023-07-27,부상자 명단,LG,박명근,10일,투수
2023-07-27,부상자 명단,KT,강백호,10일,내야수
2023-07-26,부상자 명단,LG,김민성,10일,내야수
2023-07-26,부상자 명단,NC,박석민,10일,내야수
2023-07-26,군보류,롯데,김세민,,내야수
2023-07-25,부상자 명단,KT,정준영,15일,외야수
2023-07-25,자유계약선수,롯데,스트레일리,,투수
2023-07-23,부상자 명단,키움,이정후,30일,외야수
2023-07-22,군보류 자유계약선수,NC,이승헌,,투수
2023-07-22,소속선수 추가 등록,키움,도슨,,외야수
2023-07-21,소속선수 추가 등록,롯데,구드럼,,내야수
2023-07-21,소속선수 추가 등록,롯데,윌커슨,,투수
2023-07-21,소속선수 추가 등록,두산,김태근,육성선수 말소,외야수
2023-07-21,웨이버,SSG,이원준,,투수
2023-07-20,자유계약선수,키움,러셀,,내야수
2023-07-18,부상자 명단,삼성,황동재,10일,투수
2023-07-18,군보류 자유계약선수,한화,장웅정,,투수
2023-07-18,웨이버,롯데,스트레일리,,투수
2023-07-18,자유계약선수,롯데,렉스,,외야수
2023-07-18,트레이드,LG,최승민,NC→LG,외야수
2023-07-18,트레이드,NC,채지선,LG→NC,투수
2023-07-17,부상자 명단,LG,박명근,10일,투수
2023-07-16,부상자 명단,LG,김민성,10일,내야수
2023-07-13,부상자 명단,키움,신준우,30일,내야수
2023-07-13,부상자 명단,키움,임지열,30일,내야수
2023-07-13,웨이버,키움,러셀,,내야수
2023-07-13,자유계약선수,KIA,앤더슨,,투수
2023-07-12,소속선수 추가 등록,롯데,박형준,육성선수 말소,외야수
2023-07-12,등번호 변경,롯데,박형준,103→17,외야수
2023-07-11,부상자 명단,KT,배제성,10일,투수
2023-07-11,부상자 명단,KT,이상호,10일,내야수
2023-07-11,소속선수 추가 등록,키움,박수종,육성선수 말소,외야수
2023-07-11,소속선수 추가 등록,KIA,파노니,,투수
2023-07-11,웨이버,롯데,렉스,,외야수
2023-07-11,자유계약선수,KIA,메디나,,투수
2023-07-10,부상자 명단,SSG,최정,10일,내야수
2023-07-10,부상자 명단,LG,정우영,10일,투수
2023-07-10,부상자 명단,KT,엄상백,10일,투수
2023-07-10,부상자 명단,NC,박민우,10일,내야수
2023-07-09,소속선수 추가 등록,한화,장지승,육성선수 말소,외야수
2023-07-08,부상자 명단,KIA,황대인,15일,내야수
2023-07-07,부상자 명단,LG,박명근,10일,투수
2023-07-07,부상자 명단,LG,유영찬,10일,투수
2023-07-07,부상자 명단,NC,임정호,15일,투수
2023-07-07,부상자 명단,롯데,고승민,30일 / 8.3 1군 엔트리 등록,외야수
2023-07-07,소속선수 추가 등록,KIA,산체스,,투수
2023-07-07,소속선수 추가 등록,두산,박준영,육성선수 말소,내야수
2023-07-06,부상자 명단,LG,김민성,10일,내야수
2023-07-06,부상자 명단,삼성,오재일,30일 / 8.4 1군 엔트리 등록,내야수
2023-07-06,웨이버,KIA,앤더슨,,투수
2023-07-05,소속선수 추가 등록,NC,배재환,육성선수 말소,투수
2023-07-05,트레이드,KIA,김태군,삼성→KIA,포수
2023-07-05,트레이드,삼성,류지혁,KIA→삼성,내야수
2023-07-04,웨이버,KIA,메디나,,투수
2023-07-03,부상자 명단,키움,러셀,10일,내야수
2023-06-30,치료·재활명단,SSG,이흥련,22일,포수
2023-06-30,치료·재활명단,SSG,최경모,22일,내야수
2023-06-29,부상자 명단,LG,김윤식,10일,투수
2023-06-29,소속선수 추가 등록,KIA,김건국,육성선수 말소,투수
2023-06-29,등번호 변경,KIA,김건국,029→43,투수
2023-06-28,부상자 명단,KIA,김선빈,10일,내야수
2023-06-28,부상자 명단,NC,도태훈,15일 / 7.11 1군 엔트리 등록,내야수
2023-06-27,부상자 명단,LG,유영찬,10일,투수
2023-06-27,소속선수 추가 등록,LG,오석주,육성선수 말소,투수
2023-06-27,소속선수 추가 등록,한화,윌리엄스,,외야수
2023-06-27,등번호 변경,LG,오석주,104→57,투수
2023-06-26,부상자 명단,키움,김휘집,30일,내야수
2023-06-26,부상자 명단,KIA,변우혁,10일,내야수
2023-06-25,경조휴가,KT,장준원,2일,내야수
2023-06-25,소속선수 추가 등록,키움,맥키니,,투수
2023-06-25,소속선수 추가 등록,KIA,한준수,육성선수 말소,포수
2023-06-25,등번호 변경,KIA,한준수,025→55,포수
2023-06-24,부상자 명단,SSG,최민준,30일,투수
2023-06-24,부상자 명단,삼성,백정현,10일,투수
2023-06-23,부상자 명단,키움,러셀,10일,내야수
2023-06-23,부상자 명단,NC,이재학,30일,투수
2023-06-23,부상자 명단,롯데,나균안,10일,투수
2023-06-23,소속선수 추가 등록,두산,박지훈,군보류 해제,내야수
2023-06-23,소속선수 추가 등록,두산,브랜든,,투수
2023-06-23,자유계약선수,키움,요키시,,투수
2023-06-22,부상자 명단,SSG,전의산,15일,내야수
2023-06-22,부상자 명단,KT,이호연,10일,내야수
2023-06-21,부상자 명단,NC,최성영,30일,투수
2023-06-21,소속선수 추가 등록,삼성,김도환,군보류 해제,포수
2023-06-20,소속선수 추가 등록,키움,윤석원,육성선수 말소,투수
2023-06-19,부상자 명단,LG,김윤식,10일,투수
2023-06-19,부상자 명단,KT,강백호,10일,내야수
2023-06-18,부상자 명단,KIA,김선빈,10일,내야수
2023-06-18,소속선수 추가 등록,삼성,김시현,육성선수 말소,투수
2023-06-18,등번호 변경,삼성,김시현,100→67,투수
2023-06-17,부상자 명단,롯데,정훈,30일,내야수
2023-06-17,군보류 자유계약선수,KT,김성훈,,투수
2023-06-17,소속선수 추가 등록,롯데,정대선,육성선수 말소,내야수
2023-06-16,소속선수 추가 등록,KT,쿠에바스,,투수
2023-06-16,웨이버,키움,요키시,,투수
2023-06-16,자유계약선수,KT,슐서,,투수
2023-06-15,부상자 명단,롯데,노진혁,15일,내야수
2023-06-15,부상자 명단,한화,김민우,15일,투수
2023-06-15,등번호 변경,KT,김건형,32→40,외야수
2023-06-15,자유계약선수,두산,딜런,,투수
2023-06-14,부상자 명단,KIA,한승택,30일,포수
2023-06-13,부상자 명단,NC,구창모,10일,투수
2023-06-13,부상자 명단,삼성,강한울,10일,내야수
2023-06-13,군보류,NC,김녹원,,투수
2023-06-13,군보류 자유계약선수,한화,배동현,,투수
2023-06-13,군보류 자유계약선수,한화,오동욱,,투수
2023-06-13,군보류 자유계약선수,한화,조한민,,내야수
2023-06-13,소속선수 추가 등록,SSG,김찬형,군보류 해제,내야수
2023-06-13,소속선수 추가 등록,LG,이상영,군보류 해제,투수
2023-06-13,소속선수 추가 등록,KIA,최원준,군보류 해제,외야수
2023-06-13,소속선수 추가 등록,NC,배민서,군보류 해제,투수
2023-06-13,소속선수 추가 등록,NC,최정원,군보류 해제,내야수
2023-06-13,소속선수 추가 등록,삼성,최지광,군보류 해제,투수
2023-06-13,소속선수 추가 등록,삼성,최채흥,군보류 해제,투수
2023-06-13,소속선수 추가 등록,롯데,손성빈,군보류 해제,포수
2023-06-13,소속선수 추가 등록,두산,김민규,군보류 해제,투수
2023-06-13,소속선수 추가 등록,한화,최인호,군보류 해제,외야수
2023-06-12,부상자 명단,SSG,김성현,10일,내야수
2023-06-12,부상자 명단,SSG,하재훈,30일,외야수
2023-06-12,부상자 명단,두산,김명신,10일,투수
2023-06-11,부상자 명단,삼성,원태인,10일,투수
2023-06-11,소속선수 추가 등록,삼성,류승민,육성선수 말소,외야수
2023-06-11,등번호 변경,삼성,류승민,104→46,외야수
2023-06-10,부상자 명단,NC,권희동,15일 / 6.23 1군 엔트리 등록,외야수
2023-06-09,부상자 명단,LG,김윤식,10일,투수
2023-06-09,부상자 명단,KT,강백호,10일,내야수
2023-06-09,소속선수 추가 등록,KT,김병준,육성선수 말소,외야수
2023-06-09,웨이버,KT,슐서,,투수
2023-06-09,임의해지,롯데,최민재,,외야수
2023-06-08,웨이버,두산,딜런,,투수
2023-06-07,부상자 명단,두산,안재석,10일,내야수
2023-06-07,소속선수 추가 등록,롯데,장세진,육성선수 말소,투수
2023-06-07,임의해지,롯데,정태승,,투수
2023-06-07,자유계약선수,한화,오그레디,,외야수
2023-06-04,부상자 명단,삼성,구자욱,30일,외야수
2023-06-04,부상자 명단,삼성,김동진,30일,내야수
2023-06-04,소속선수 추가 등록,롯데,이주찬,군보류 해제,내야수
2023-06-03,부상자 명단,NC,구창모,10일,투수
2023-06-03,부상자 명단,삼성,강한울,10일,내야수
2023-06-03,소속선수 추가 등록,롯데,박진,육성선수 말소,투수
2023-06-02,부상자 명단,KT,조용호,15일,외야수
2023-06-02,부상자 명단,한화,오선진,15일,내야수
2023-06-02,부상자 명단,한화,윤대경,15일,투수
2023-06-01,부상자 명단,NC,박민우,10일,내야수
2023-06-01,군보류 자유계약선수,두산,장규빈,,포수
2023-06-01,소속선수 추가 등록,두산,이영하,2023 미계약 보류선수,투수
2023-05-31,부상자 명단,롯데,국해성,15일,외야수
2023-05-31,웨이버,한화,오그레디,,외야수
2023-05-30,부상자 명단,LG,이정용,10일,투수
2023-05-30,개명,NC,전루건,개명전:전창민,투수
2023-05-30,소속선수 추가 등록,롯데,박명현,군보류 해제,투수
2023-05-30,소속선수 추가 등록,롯데,최종은,군보류 해제,내야수
2023-05-30,소속선수 추가 등록,한화,김건,육성선수 말소,내야수
2023-05-30,임의해지,롯데,나원탁,,투수
2023-05-28,소속선수 추가 등록,키움,김병휘,군보류 해제,내야수
2023-05-28,소속선수 추가 등록,LG,송대현,육성선수 말소,내야수
2023-05-28,등번호 변경,LG,송대현,112→63,내야수
2023-05-27,치료·재활명단,SSG,박시후,41일,투수
2023-05-25,부상자 명단,LG,이재원,15일 / 6.8 1군 엔트리 등록,내야수
2023-05-25,군보류 자유계약선수,NC,박시원,,외야수
2023-05-25,트레이드,SSG,강진성,두산→SSG,외야수
2023-05-25,트레이드,두산,김정우,SSG→두산,투수
2023-05-24,부상자 명단,KT,김준태,30일,포수
2023-05-24,부상자 명단,KT,조현우,15일,투수
2023-05-24,부상자 명단,삼성,김지찬,10일,내야수
2023-05-24,소속선수 추가 등록,롯데,홍민기,군보류 해제,투수
2023-05-23,소속선수 추가 등록,NC,박영빈,육성선수 말소,외야수
2023-05-23,소속선수 추가 등록,NC,임지민,육성선수 말소,투수
2023-05-23,소속선수 추가 등록,롯데,국해성,2022.11.9 자유계약선수 공시,외야수
2023-05-22,부상자 명단,LG,고우석,10일,투수
2023-05-22,부상자 명단,NC,김진호,30일,투수
2023-05-22,부상자 명단,NC,김한별,10일,내야수
2023-05-20,부상자 명단,LG,이정용,10일,투수
2023-05-20,부상자 명단,NC,오영수,10일,내야수
2023-05-20,소속선수 추가 등록,LG,김진수,군보류 해제,투수
2023-05-20,소속선수 추가 등록,LG,이상규,육성선수 말소,투수
2023-05-19,치료·재활명단,키움,서유신,30일,내야수
2023-05-19,부상자 명단,두산,김강률,10일,투수
2023-05-19,소속선수 추가 등록,KT,박민석,육성선수 말소,내야수
2023-05-19,등번호 변경,두산,박준영,69→9,내야수
2023-05-19,트레이드,KT,이호연,롯데→KT,내야수
2023-05-19,트레이드,롯데,심재민,KT→롯데,투수
2023-05-18,부상자 명단,KT,조용호,15일,외야수
2023-05-18,부상자 명단,NC,구창모,10일,투수
2023-05-18,부상자 명단,NC,김영규,10일,투수
2023-05-18,개명,한화,박성웅,개명전:박주홍,투수
2023-05-17,치료·재활명단,SSG,김태훈,16일,투수
2023-05-17,부상자 명단,롯데,렉스,10일,외야수
2023-05-17,부상자 명단,롯데,최준용,30일,투수
2023-05-16,소속선수 추가 등록,KT,전용주,육성선수 말소,투수
2023-05-15,부상자 명단,한화,김민우,15일 / 5.26 1군 엔트리 등록,투수
2023-05-15,군보류,SSG,전영준,,투수
2023-05-15,군보류,키움,박주성,,투수
2023-05-15,군보류,키움,이강준,,투수
2023-05-15,군보류,키움,이주형,,내야수
2023-05-15,군보류,LG,송승기,,투수
2023-05-15,군보류,LG,허준혁,,투수
2023-05-15,군보류,삼성,박주혁,,투수
2023-05-15,군보류,삼성,이재희,,투수
2023-05-15,군보류,삼성,이해승,,내야수
2023-05-15,군보류,롯데,조세진,,외야수
2023-05-15,군보류,롯데,한태양,,내야수
2023-05-15,군보류,두산,박성재,,포수
2023-05-15,군보류,한화,정민규,,내야수
2023-05-13,소속선수 추가 등록,SSG,엘리아스,,투수
2023-05-12,부상자 명단,LG,고우석,10일,투수
2023-05-12,소속선수 추가 등록,롯데,윤수녕,육성선수 말소,외야수
2023-05-12,등번호 변경,롯데,윤수녕,103→63,외야수
2023-05-11,부상자 명단,두산,안재석,10일,내야수
2023-05-11,소속선수 추가 등록,롯데,박영완,육성선수 말소,투수
2023-05-11,소속선수 추가 등록,롯데,서동욱,육성선수 말소,포수
2023-05-11,자유계약선수,SSG,로메로,,투수
2023-05-10,부상자 명단,키움,이승호,30일,투수
2023-05-10,부상자 명단,키움,이용규,10일,외야수
2023-05-10,부상자 명단,NC,류진욱,10일,투수
2023-05-10,부상자 명단,롯데,윤명준,10일,투수
2023-05-09,경조휴가,KT,장성우,2일,포수
2023-05-09,부상자 명단,KT,황재균,10일,내야수
2023-05-09,소속선수 추가 등록,롯데,배영빈,육성선수 말소,내야수
2023-05-09,임의해지,롯데,김재유,,외야수
2023-05-08,부상자 명단,두산,곽빈,10일,투수
2023-05-06,부상자 명단,KT,김민혁,10일,외야수
2023-05-05,소속선수 추가 등록,키움,주성원,육성선수 말소,외야수
2023-05-04,부상자 명단,KT,오윤석,10일,내야수
2023-05-04,소속선수 추가 등록,삼성,김상민,육성선수 말소,외야수
2023-05-04,소속선수 추가 등록,한화,산체스,,투수
2023-05-04,등번호 변경,삼성,김상민,102→25,외야수
2023-05-04,웨이버,SSG,로메로,,투수
2023-05-02,부상자 명단,LG,고우석,10일,투수
2023-05-01,부상자 명단,두산,안재석,10일,내야수
2023-05-01,소속선수 추가 등록,SSG,김건웅,육성선수 말소,내야수
2023-05-01,소속선수 추가 등록,KT,이상동,군보류 해제,투수
2023-05-01,소속선수 추가 등록,KT,이선우,육성선수 말소,투수
2023-05-01,소속선수 추가 등록,두산,백승우,육성선수 말소,투수
2023-04-30,부상자 명단,KT,박병호,10일,내야수
2023-04-30,부상자 명단,NC,류진욱,10일,투수
2023-04-30,부상자 명단,NC,이용찬,10일,투수
2023-04-29,부상자 명단,SSG,최지훈,10일,외야수
2023-04-29,치료·재활명단,KIA,윤중현,21일,투수
2023-04-29,부상자 명단,롯데,황성빈,15일,외야수
2023-04-28,부상자 명단,두산,김인태,10일,외야수
2023-04-27,트레이드,키움,신인,"2024 신인드래프트 3R, 삼성→키움",지명권
2023-04-27,트레이드,키움,이원석,삼성→키움,내야수
2023-04-27,트레이드,삼성,김태훈,키움→삼성,투수
2023-04-26,자유계약선수,한화,스미스,,투수
2023-04-25,군보류 자유계약선수,SSG,양선률,,투수
2023-04-24,부상자 명단,키움,문성현,30일,투수
2023-04-24,부상자 명단,한화,장운호,10일,외야수
2023-04-24,군보류 자유계약선수,한화,김진욱,,투수
2023-04-24,군보류 자유계약선수,한화,박주홍,,투수
2023-04-19,부상자 명단,KT,소형준,15일 / 5.3 1군 엔트리 등록,투수
2023-04-19,웨이버,한화,스미스,,투수
2023-04-18,부상자 명단,두산,김인태,10일,외야수
2023-04-17,부상자 명단,LG,김주성,10일,내야수
2023-04-16,부상자 명단,NC,서호철,10일,내야수
2023-04-16,부상자 명단,삼성,김동엽,30일,외야수
2023-04-16,등번호 변경,키움,송재선,03→63,외야수
2023-04-15,부상자 명단,KT,황재균,10일,내야수
2023-04-15,부상자 명단,NC,박세혁,10일,포수
2023-04-14,부상자 명단,한화,장운호,10일,외야수
2023-04-12,부상자 명단,롯데,황성빈,15일 / 4.22 1군 엔트리 등록,외야수
2023-04-12,군보류 자유계약선수,KIA,김원경,,내야수
2023-04-10,부상자 명단,LG,백승현,30일,투수
2023-04-10,부상자 명단,LG,이민호,30일,투수
2023-04-10,군보류 자유계약선수,SSG,류효승,,외야수
2023-04-09,부상자 명단,SSG,김광현,10일,투수
2023-04-09,부상자 명단,삼성,김태훈,30일,외야수
2023-04-08,부상자 명단,LG,오지환,15일 / 4.22 1군 엔트리 등록,내야수
2023-04-08,부상자 명단,두산,김인태,10일,외야수
2023-04-08,부상자 명단,한화,이명기,30일,외야수
2023-04-06,부상자 명단,NC,김성욱,10일,외야수
2023-04-05,부상자 명단,키움,원종현,30일,투수
2023-04-05,부상자 명단,KT,엄상백,10일,투수
2023-04-04,부상자 명단,KT,소형준,15일,투수
2023-04-03,부상자 명단,키움,전병우,10일,내야수
2023-04-03,부상자 명단,LG,김주성,10일,내야수
2023-04-03,부상자 명단,KIA,김도영,30일,내야수
2023-04-02,부상자 명단,롯데,이민석,30일,투수
2023-04-02,부상자 명단,롯데,지시완,30일,포수
2023-03-30,참가활동 정지,롯데,서준원,,투수
2023-03-30,등번호 변경,키움,이강준,58→22,투수
2023-03-30,등번호 변경,키움,이승원,02→8,내야수
2023-03-30,FA 계약,키움,정찬헌,,투수
2023-03-24,소속선수 추가 등록,KT,김건형,군보류 해제,외야수
2023-03-21,임의해지,SSG,이현석,,포수
2023-03-16,개명,삼성,노건우,개명전:노성호,투수
2023-03-14,등번호 변경,롯데,현도훈,101→54,투수
2023-03-09,개명,키움,양지율,개명전:양기현,투수
2023-03-09,개명,KIA,김사윤,개명전:김정빈,투수
2023-03-09,소속선수 추가 등록,LG,이주형,군보류 해제,내야수
2023-02-28,FA 계약,NC,권희동,,외야수
2023-02-22,등번호 변경,롯데,김민석,54→2,외야수
2023-02-21,등번호 변경,한화,김건,14→97,내야수
2023-02-15,소속선수 추가 등록,LG,송은범,,투수
2023-02-15,임의해지,SSG,김재현,,내야수
2023-02-14,트레이드,NC,신인,"2024 신인드래프트 7R, 한화→NC",지명권
2023-02-14,트레이드,NC,조현진,한화→NC,내야수
2023-02-14,트레이드,한화,이명기,NC→한화,외야수
2023-02-14,트레이드,한화,이재용,NC→한화,포수
2023-02-14,FA 계약,NC,이명기,,외야수
2023-02-01,자유계약선수,NC,김응민,,포수
2023-01-31,군보류 자유계약선수,키움,김신회,,외야수
2023-01-31,군보류 자유계약선수,NC,배재환,,투수
2023-01-31,군보류 자유계약선수,삼성,김시현,,투수
2023-01-31,군보류 자유계약선수,삼성,김용하,,투수
2023-01-31,군보류 자유계약선수,삼성,양우현,,내야수
2023-01-31,군보류 자유계약선수,삼성,오현석,,내야수
2023-01-31,임의해지,롯데,배성근,,내야수
2023-01-31,자유계약선수,키움,김동욱,,투수
2023-01-31,자유계약선수,키움,김정인,,투수
2023-01-31,자유계약선수,키움,박주현,,투수
2023-01-31,자유계약선수,키움,오윤성,,투수
2023-01-31,자유계약선수,키움,이재홍,,내야수
2023-01-31,자유계약선수,LG,오석주,,투수
2023-01-31,자유계약선수,LG,이상규,,투수
2023-01-31,자유계약선수,LG,이찬혁,,투수
2023-01-31,자유계약선수,LG,전준호,,포수
2023-01-31,자유계약선수,KT,박준혁,,외야수
2023-01-31,자유계약선수,KT,이상우,,투수
2023-01-31,자유계약선수,KT,이정훈,,투수
2023-01-31,자유계약선수,KT,조병욱,,투수
2023-01-31,자유계약선수,KT,한지용,,포수
2023-01-31,자유계약선수,NC,이민호,,투수
2023-01-31,자유계약선수,NC,이주형,,투수
2023-01-31,자유계약선수,NC,임지민,,투수
2023-01-31,자유계약선수,NC,최우재,,외야수
2023-01-31,자유계약선수,NC,하준수,,투수
2023-01-31,자유계약선수,두산,김태근,,외야수
2023-01-31,자유계약선수,두산,문원,,투수
2023-01-31,자유계약선수,두산,박소준,,투수
2023-01-31,자유계약선수,두산,박준영,,내야수
2023-01-31,자유계약선수,두산,배창현,,투수
2023-01-31,자유계약선수,두산,신민철,,내야수
2023-01-31,자유계약선수,두산,이주엽,,투수
2023-01-31,자유계약선수,두산,전희범,,외야수
2023-01-31,자유계약선수,두산,정유석,,투수
2023-01-31,자유계약선수,한화,김건,,내야수
2023-01-31,자유계약선수,한화,신지후,,투수
2023-01-31,자유계약선수,한화,원혁재,,외야수
2023-01-31,자유계약선수,한화,장지승,,외야수
2023-01-25,FA 보상선수,키움,이강준,롯데→키움,투수
2023-01-25,FA 계약,KT,신본기,,내야수
2023-01-19,FA 계약,롯데,한현희,,투수
